# Name,Reference,Value,Footprint,Quantity,UnitPrice,Category,Manufacturer,MPN,Datasheet
ESP32-C3-MINI-1,U1,ESP32-C3-MINI-1,Module,1,2.80,MCU,Espressif,ESP32-C3-MINI-1,https://www.espressif.com/sites/default/files/documentation/esp32-c3-mini-1_datasheet_en.pdf
SX1261,U2,SX1261,QFN-24,1,3.80,Sub-GHz Radio,Semtech,SX1261,https://www.semtech.com/products/wireless-rf/lora-transceivers/sx1261
Danfoss RA2 Actuator,M1,RA2 M30x1.5,M30-actuator,1,12.00,Radiator Valve Motor,Danfoss,RA2,https://www.danfoss.com/en/products/heating/
A4988 Stepper Driver,U3,A4988,DFN-16,1,1.50,Motor Driver,Allegro,A4988,
MG996R Servo,M2,MG996R,Servo,1,5.50,Damper Servo,TowerPro,MG996R,
SRD-05VDC Relay,K1,5V Relay SRD-05VDC,DIP,1,0.60,Relay,SONGLE,SRD-05VDC-SL-C,
SRD-05VDC Relay,K2,5V Relay SRD-05VDC,DIP,1,0.60,Relay,SONGLE,SRD-05VDC-SL-C,
DS18B20,U4,DS18B20,TO-92,1,0.50,Temperature Sensor,Maxim,DS18B20,https://www.analog.com/media/en/technical-documentation/data-sheets/DS18B20.pdf
YF-S201,U5,YF-S201 Flow Meter,Inline,1,2.50,Flow Sensor,GeeBat,YF-S201,
MP1584 Buck,U6,MP1584,SOIC-8,1,0.40,Buck Converter,MPS,MP1584,
AP2112-3.3,U7,AP2112-3.3,SOT-223,1,0.30,LDO,Diodes Inc,AP2112-3.3,
SMA Connector,J1,SMA Edge Mount,SMD,1,0.80,RF Connector,Amphenol,901-10510-2,
915MHz Antenna,ANT1,915MHz Whip,SMA,1,1.50,Antenna,Linx,ANT-916-USP,
PCB,,100x60mm 4-layer FR4,Custom,1,3.00,PCB,JLCPCB,,
Passives,,R/C/L 0402,0402,30,0.03,Passive,Various,,
